F0010;F0020;F0100;F0101;F0110;F0120;F0130;F0140;F0150;F0160;F0170;F0180;F0190;F0200;F0210;F0220;F0230;F0240;F0250;F0260;F0270;MF0190;MF0200
5;52;4289238;F001;2.6766950778027;01;01;1;01;2;2;17;2;4;05;;1;0;2;5722;;0;0
5;52;6696839;F001;5.0091282878614;01;01;1;01;3;1;08;3;4;03;;0;1;2;604;1;0;0
5;52;4058407;F001;4.8274330050313;01;01;1;01;4;1;14;3;4;03;;2;2;2;4500;2;0;0
5;52;6008263;F001;6.4503951356432;01;01;1;01;3;2;14;1;1;06;;1;1;2;600;;0;0
5;52;2048770;F001;5.3978054448489;01;01;1;01;3;2;10;3;4;03;;0;1;2;2000;1;0;0
5;52;3333157;F001;5.9866838544742;01;01;1;01;2;1;11;3;1;01;;0;1;1;3500;1;0;0
5;52;802434;F001;5.8955184031335;01;01;1;01;2;1;12;1;4;07;;0;1;1;1300;;0;0
5;52;2944684;F001;4.6233676207173;01;01;1;01;4;1;11;4;4;03;;1;2;2;3250;1;0;0
5;52;2882207;F001;4.5560977219058;01;01;1;01;4;1;13;2;4;04;;0;2;2;2075;1;0;0
5;52;3986191;F001;4.0137613968676;01;01;1;01;3;1;13;2;4;03;;0;1;2;2141.33;2;0;0
5;52;4268033;F001;5.1752293499603;01;01;1;01;3;2;11;1;1;10;;0;1;2;640;;0;0
5;52;3777445;F001;5.7150092041782;01;01;1;01;2;1;11;2;4;01;;0;1;1;1250;2;0;0
5;52;7381743;F001;4.8395815883792;01;01;1;01;2;1;14;1;4;01;;0;1;1;1912;1;0;0
5;52;3174830;F001;5.0766931227478;01;01;1;01;4;1;10;1;4;03;;1;2;2;1103;1;0;0
5;52;2185412;F001;4.8357983499501;01;01;1;01;5;2;11;3;1;10;;0;2;3;942.4;;0;0
5;52;522555;F001;7.0934452504498;01;01;1;02;2;2;11;1;4;01;;0;1;1;2000;1;0;0
5;52;522555;F002;7.0934452504498;01;01;1;03;2;;;;;;1;;1;1;1315;;9;9
5;52;775842;F001;5.5494386525963;01;01;1;01;3;1;14;3;4;03;;0;2;1;808;1;0;0
5;52;2271486;F001;4.1792714265669;01;01;1;01;2;1;13;4;1;01;;0;1;1;2375;1;0;0
5;52;6479141;F001;5.5279002394453;01;01;1;01;4;2;09;1;4;03;;2;2;2;756;1;0;0
5;52;134675;F001;5.6407538960089;01;01;1;01;4;2;10;4;4;03;;0;3;1;1153;1;0;0
5;52;4092228;F001;3.7766720248472;01;01;1;01;2;1;13;1;1;01;;0;1;1;1212;1;0;0
5;52;6247304;F001;3.9734504183158;01;01;1;01;4;1;07;3;4;03;;0;2;2;803;1;0;0
